"id","type","dataType","group","status","uiName","description","allowedInSegments","replacedBy","calculation","minTemplateIndex","maxTemplateIndex","premiumMinTemplateIndex","premiumMaxTemplateIndex"
"ga:userType","DIMENSION","STRING","User","PUBLIC","User Type","A boolean indicating if a user is new or returning. Possible values: New Visitor, Returning Visitor.",TRUE,NA,NA,NA,NA,NA,NA
"ga:visitorType","DIMENSION","STRING","User","DEPRECATED","User Type","A boolean indicating if a user is new or returning. Possible values: New Visitor, Returning Visitor.",TRUE,"ga:userType",NA,NA,NA,NA,NA
"ga:sessionCount","DIMENSION","STRING","User","PUBLIC","Count of Sessions","The session index for a user. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indicies. For example, if a certain user has 4 sessions to your website, sessionCount for that user will have 4 distinct values of '1' through '4'.",TRUE,NA,NA,NA,NA,NA,NA
"ga:visitCount","DIMENSION","STRING","User","DEPRECATED","Count of Sessions","The session index for a user. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indicies. For example, if a certain user has 4 sessions to your website, sessionCount for that user will have 4 distinct values of '1' through '4'.",TRUE,"ga:sessionCount",NA,NA,NA,NA,NA
"ga:daysSinceLastSession","DIMENSION","STRING","User","PUBLIC","Days Since Last Session","The number of days elapsed since users last visited your property. Used to calculate user loyalty.",TRUE,NA,NA,NA,NA,NA,NA
"ga:daysSinceLastVisit","DIMENSION","STRING","User","DEPRECATED","Days Since Last Session","The number of days elapsed since users last visited your property. Used to calculate user loyalty.",TRUE,"ga:daysSinceLastSession",NA,NA,NA,NA,NA
"ga:userDefinedValue","DIMENSION","STRING","User","PUBLIC","User Defined Value","The value provided when you define custom user segments for your property.",TRUE,NA,NA,NA,NA,NA,NA
"ga:users","METRIC","INTEGER","User","PUBLIC","Users","The total number of users for the requested time period.",NA,NA,NA,NA,NA,NA,NA
"ga:visitors","METRIC","INTEGER","User","DEPRECATED","Users","The total number of users for the requested time period.",NA,"ga:users",NA,NA,NA,NA,NA
"ga:newUsers","METRIC","INTEGER","User","PUBLIC","New Users","The number of users whose session was marked as a first-time session.",TRUE,NA,NA,NA,NA,NA,NA
"ga:newVisits","METRIC","INTEGER","User","DEPRECATED","New Users","The number of users whose session was marked as a first-time session.",TRUE,"ga:newUsers",NA,NA,NA,NA,NA
"ga:percentNewSessions","METRIC","PERCENT","User","PUBLIC","% New Sessions","The percentage of sessions by people who had never visited your property before.",NA,NA,"ga:newUsers / ga:sessions",NA,NA,NA,NA
"ga:percentNewVisits","METRIC","PERCENT","User","DEPRECATED","% New Sessions","The percentage of sessions by people who had never visited your property before.",NA,"ga:percentNewSessions","ga:newUsers / ga:sessions",NA,NA,NA,NA
"ga:1dayUsers","METRIC","INTEGER","User","PUBLIC","1 Day Active Users","Total number of 1-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension in order to query this metric. For the given date the returned value will be the total unique users for the 1 day period ending on the given date.",NA,NA,NA,NA,NA,NA,NA
"ga:7dayUsers","METRIC","INTEGER","User","PUBLIC","7 Day Active Users","Total number of 7-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension in order to query this metric. For the given date the returned value will be the total unique users for the 7 day period ending on the given date.",NA,NA,NA,NA,NA,NA,NA
"ga:14dayUsers","METRIC","INTEGER","User","PUBLIC","14 Day Active Users","Total number of 14-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension in order to query this metric. For the given date the returned value will be the total unique users for the 14 day period ending on the given date.",NA,NA,NA,NA,NA,NA,NA
"ga:30dayUsers","METRIC","INTEGER","User","PUBLIC","30 Day Active Users","Total number of 30-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension in order to query this metric. For the given date the returned value will be the total unique users for the 30 day period ending on the given date.",NA,NA,NA,NA,NA,NA,NA
"ga:sessionDurationBucket","DIMENSION","STRING","Session","PUBLIC","Session Duration","The length of a session measured in seconds and reported in second increments. The value returned is a string.",TRUE,NA,NA,NA,NA,NA,NA
"ga:visitLength","DIMENSION","STRING","Session","DEPRECATED","Session Duration","The length of a session measured in seconds and reported in second increments. The value returned is a string.",TRUE,"ga:sessionDurationBucket",NA,NA,NA,NA,NA
"ga:sessions","METRIC","INTEGER","Session","PUBLIC","Sessions","The total number of sessions.",TRUE,NA,NA,NA,NA,NA,NA
"ga:visits","METRIC","INTEGER","Session","DEPRECATED","Sessions","The total number of sessions.",TRUE,"ga:sessions",NA,NA,NA,NA,NA
"ga:bounces","METRIC","INTEGER","Session","PUBLIC","Bounces","The total number of single page (or single engagement hit) sessions for your property.",TRUE,NA,NA,NA,NA,NA,NA
"ga:entranceBounceRate","METRIC","PERCENT","Session","DEPRECATED","Bounce Rate","This dimension is deprecated and will be removed soon. Please use ga:bounceRate instead.",NA,"ga:bounceRate","ga:bounces / ga:entrances",NA,NA,NA,NA
"ga:bounceRate","METRIC","PERCENT","Session","PUBLIC","Bounce Rate","The percentage of single-page session (i.e., session in which the person left your property from the first page).",NA,NA,"ga:bounces / ga:sessions",NA,NA,NA,NA
"ga:visitBounceRate","METRIC","PERCENT","Session","DEPRECATED","Bounce Rate","The percentage of single-page session (i.e., session in which the person left your property from the first page).",NA,"ga:bounceRate","ga:bounces / ga:sessions",NA,NA,NA,NA
"ga:sessionDuration","METRIC","TIME","Session","PUBLIC","Session Duration","The total duration of user sessions represented in total seconds.",TRUE,NA,NA,NA,NA,NA,NA
"ga:timeOnSite","METRIC","TIME","Session","DEPRECATED","Session Duration","The total duration of user sessions represented in total seconds.",TRUE,"ga:sessionDuration",NA,NA,NA,NA,NA
"ga:avgSessionDuration","METRIC","TIME","Session","PUBLIC","Avg. Session Duration","The average duration of user sessions represented in total seconds.",NA,NA,"ga:sessionDuration / ga:sessions",NA,NA,NA,NA
"ga:avgTimeOnSite","METRIC","TIME","Session","DEPRECATED","Avg. Session Duration","The average duration of user sessions represented in total seconds.",NA,"ga:avgSessionDuration","ga:sessionDuration / ga:sessions",NA,NA,NA,NA
"ga:referralPath","DIMENSION","STRING","Traffic Sources","PUBLIC","Referral Path","The path of the referring URL (e.g. document.referrer). If someone places a link to your property on their website, this element contains the path of the page that contains the referring link.",TRUE,NA,NA,NA,NA,NA,NA
"ga:fullReferrer","DIMENSION","STRING","Traffic Sources","PUBLIC","Full Referrer","The full referring URL including the hostname and path.",NA,NA,NA,NA,NA,NA,NA
"ga:campaign","DIMENSION","STRING","Traffic Sources","PUBLIC","Campaign","When using manual campaign tracking, the value of the utm_campaign campaign tracking parameter. When using AdWords autotagging, the name(s) of the online ad campaign that you use for your property. Otherwise the value (not set) is used.",TRUE,NA,NA,NA,NA,NA,NA
"ga:source","DIMENSION","STRING","Traffic Sources","PUBLIC","Source","The source of referrals. When using manual campaign tracking, the value of the utm_source campaign tracking parameter. When using AdWords autotagging, the value is google. Otherwise the domain of the source referring the user (e.g. document.referrer). The value may also contain a port address. If the user arrived without a referrer, the value is (direct)",TRUE,NA,NA,NA,NA,NA,NA
"ga:medium","DIMENSION","STRING","Traffic Sources","PUBLIC","Medium","The type of referrals. When using manual campaign tracking, the value of the utm_medium campaign tracking parameter. When using AdWords autotagging, the value is ppc. If the user comes from a search engine detected by Google Analytics, the value is organic. If the referrer is not a search engine, the value is referral. If the users came directly to the property, and document.referrer is empty, the value is (none).",TRUE,NA,NA,NA,NA,NA,NA
"ga:sourceMedium","DIMENSION","STRING","Traffic Sources","PUBLIC","Source / Medium","Combined values of ga:source and ga:medium.",TRUE,NA,NA,NA,NA,NA,NA
"ga:keyword","DIMENSION","STRING","Traffic Sources","PUBLIC","Keyword","When using manual campaign tracking, the value of the utm_term campaign tracking parameter. When using AdWords autotagging or if a user used organic search to reach your property, the keywords used by users to reach your property. Otherwise the value is (not set).",TRUE,NA,NA,NA,NA,NA,NA
